name,formula,ile_miRNA
my_own_signature,Class ~ hsa.miR.192.5p + hsa.let.7g.5p + hsa.let.7a.5p + hsa.let.7d.5p + hsa.miR.194.5p + hsa.miR.98.5p + hsa.let.7f.5p + hsa.miR.26b.5p,0
all,"Class ~ hsa.let.7a.5p + hsa.let.7a.3p + hsa.let.7b.5p + hsa.let.7c.5p + hsa.let.7d.5p + hsa.let.7d.3p + hsa.let.7e.5p + hsa.let.7f.5p + hsa.miR.15a.5p + hsa.miR.16.5p + hsa.miR.17.5p + hsa.miR.17.3p + hsa.miR.19b.3p + hsa.miR.20a.5p + hsa.miR.21.5p + hsa.miR.21.3p + hsa.miR.22.3p + hsa.miR.23a.3p + hsa.miR.24.3p + hsa.miR.25.3p + hsa.miR.26a.5p + hsa.miR.26b.5p + hsa.miR.27a.3p + hsa.miR.28.5p + hsa.miR.28.3p + hsa.miR.29a.3p + hsa.miR.30a.5p + hsa.miR.30a.3p + hsa.miR.92a.3p + hsa.miR.93.5p + hsa.miR.98.5p + 
    hsa.miR.99a.5p + hsa.miR.100.5p + hsa.miR.101.3p + hsa.miR.29b.3p + hsa.miR.103a.3p + hsa.miR.107 + hsa.miR.192.5p + hsa.miR.197.3p + hsa.miR.199a.5p + hsa.miR.199a.3p + hsa.miR.148a.3p + hsa.miR.30c.5p + hsa.miR.30c.2.3p + hsa.miR.30d.5p + hsa.miR.139.5p + hsa.miR.10a.5p + hsa.miR.10b.5p + hsa.miR.34a.5p + hsa.miR.181a.5p + hsa.miR.181a.2.3p + hsa.miR.181b.5p + hsa.miR.181c.5p + hsa.miR.181c.3p + hsa.miR.182.5p + hsa.miR.183.5p + hsa.miR.199b.5p + hsa.miR.199b.3p + hsa.miR.203a.3p + hsa.miR.210.3p + 
    hsa.miR.181a.3p + hsa.miR.217.5p + hsa.miR.218.5p + hsa.miR.221.3p + hsa.miR.222.3p + hsa.miR.223.3p + hsa.miR.200b.3p + hsa.let.7g.5p + hsa.let.7i.5p + hsa.let.7i.3p + hsa.miR.15b.5p + hsa.miR.23b.3p + hsa.miR.27b.3p + hsa.miR.30b.5p + hsa.miR.125b.5p + hsa.miR.128.3p + hsa.miR.130a.3p + hsa.miR.132.3p + hsa.miR.140.5p + hsa.miR.140.3p + hsa.miR.141.5p + hsa.miR.141.3p + hsa.miR.142.5p + hsa.miR.142.3p + hsa.miR.143.5p + hsa.miR.143.3p + hsa.miR.144.5p + hsa.miR.145.5p + hsa.miR.145.3p + hsa.miR.152.3p + 
    hsa.miR.191.5p + hsa.miR.9.5p + hsa.miR.125a.5p + hsa.miR.126.5p + hsa.miR.126.3p + hsa.miR.127.5p + hsa.miR.127.3p + hsa.miR.134.5p + hsa.miR.136.5p + hsa.miR.146a.5p + hsa.miR.150.5p + hsa.miR.185.5p + hsa.miR.186.5p + hsa.miR.193a.5p + hsa.miR.194.5p + hsa.miR.195.5p + hsa.miR.320a.3p + hsa.miR.200c.3p + hsa.miR.155.5p + hsa.miR.106b.5p + hsa.miR.106b.3p + hsa.miR.29c.3p + hsa.miR.200a.5p + hsa.miR.200a.3p + hsa.miR.99b.5p + hsa.miR.99b.3p + hsa.miR.30e.5p + hsa.miR.30e.3p + hsa.miR.361.5p + 
    hsa.miR.361.3p + hsa.miR.365a.3p + hsa.miR.365b.3p + hsa.miR.374a.5p + hsa.miR.374a.3p + hsa.miR.375.3p + hsa.miR.378a.5p + hsa.miR.378a.3p + hsa.miR.379.5p + hsa.miR.381.3p + hsa.miR.342.3p + hsa.miR.337.3p + hsa.miR.151a.5p + hsa.miR.151a.3p + hsa.miR.148b.3p + hsa.miR.338.3p + hsa.miR.335.3p + hsa.miR.423.5p + hsa.miR.423.3p + hsa.miR.424.5p + hsa.miR.425.5p + hsa.miR.429 + hsa.miR.451a + hsa.miR.452.5p + hsa.miR.484 + hsa.miR.486.5p + hsa.miR.146b.5p + hsa.miR.146b.3p + hsa.miR.193b.3p + 
    hsa.miR.500a.3p + hsa.miR.532.5p + hsa.miR.455.3p + hsa.miR.92b.3p + hsa.miR.574.3p + hsa.miR.582.3p + hsa.miR.584.5p + hsa.miR.589.5p + hsa.miR.625.3p + hsa.miR.629.5p + hsa.miR.660.5p + hsa.miR.542.3p + hsa.miR.708.3p + hsa.miR.374b.5p + hsa.miR.664a.3p + hsa.miR.1307.5p + hsa.miR.1307.3p + hsa.miR.2355.5p",166
sig,"Class ~ hsa.miR.21.5p + hsa.miR.30e.3p + hsa.miR.30a.3p + hsa.miR.30c.2.3p + hsa.miR.132.3p + hsa.miR.375.3p + hsa.miR.217.5p + hsa.miR.139.5p + hsa.miR.199a.5p + hsa.miR.338.3p + hsa.miR.199b.5p + hsa.miR.127.5p + hsa.miR.381.3p + hsa.miR.127.3p + hsa.miR.199a.3p + hsa.miR.181b.5p + hsa.miR.199b.3p + hsa.miR.194.5p + hsa.miR.134.5p + hsa.miR.30a.5p + hsa.miR.200a.5p + hsa.miR.136.5p + hsa.miR.192.5p + hsa.miR.451a + hsa.miR.200a.3p + hsa.miR.141.3p + hsa.miR.181c.3p + hsa.miR.30d.5p + hsa.miR.200b.3p + 
    hsa.miR.708.3p + hsa.miR.210.3p + hsa.miR.486.5p + hsa.miR.29a.3p + hsa.miR.378a.3p + hsa.miR.379.5p + hsa.miR.141.5p + hsa.miR.21.3p + hsa.miR.337.3p + hsa.miR.144.5p + hsa.miR.429 + hsa.miR.335.3p + hsa.miR.126.5p + hsa.miR.30c.5p + hsa.miR.181a.3p + hsa.let.7c.5p + hsa.miR.181a.5p + hsa.miR.221.3p + hsa.miR.93.5p + hsa.miR.378a.5p + hsa.miR.146b.5p + hsa.miR.23a.3p + hsa.miR.30b.5p + hsa.miR.625.3p + hsa.miR.182.5p + hsa.miR.27a.3p + hsa.miR.183.5p + hsa.miR.181c.5p + hsa.miR.126.3p + hsa.miR.582.3p + 
    hsa.miR.143.3p + hsa.miR.185.5p + hsa.miR.29c.3p + hsa.miR.223.3p + hsa.miR.423.5p + hsa.miR.151a.5p + hsa.let.7i.5p + hsa.miR.26b.5p + hsa.miR.222.3p + hsa.miR.320a.3p + hsa.miR.30e.5p + hsa.miR.200c.3p + hsa.miR.145.5p + hsa.miR.92b.3p + hsa.miR.629.5p + hsa.miR.99a.5p + hsa.miR.22.3p + hsa.miR.10b.5p + hsa.miR.142.3p + hsa.miR.16.5p + hsa.miR.10a.5p + hsa.miR.365a.3p + hsa.miR.365b.3p + hsa.miR.20a.5p + hsa.miR.195.5p + hsa.miR.26a.5p + hsa.miR.145.3p + hsa.miR.142.5p + hsa.miR.155.5p + hsa.let.7d.5p + 
    hsa.miR.101.3p + hsa.miR.15a.5p + hsa.miR.140.3p + hsa.miR.193a.5p + hsa.let.7b.5p + hsa.miR.425.5p + hsa.miR.99b.5p + hsa.miR.146b.3p + hsa.miR.128.3p + hsa.miR.34a.5p + hsa.miR.1307.5p + hsa.miR.146a.5p + hsa.miR.660.5p + hsa.miR.1307.3p + hsa.miR.17.3p + hsa.miR.103a.3p + hsa.miR.484 + hsa.miR.452.5p + hsa.miR.584.5p + hsa.miR.9.5p + hsa.miR.361.3p + hsa.let.7g.5p + hsa.let.7a.3p + hsa.miR.28.3p + hsa.miR.23b.3p + hsa.miR.29b.3p",115
sigtop,Class ~ hsa.miR.21.5p + hsa.miR.30e.3p + hsa.miR.30a.3p + hsa.miR.30c.2.3p + hsa.miR.132.3p + hsa.miR.375.3p + hsa.miR.217.5p + hsa.miR.139.5p + hsa.miR.199a.5p + hsa.miR.338.3p + hsa.miR.199b.5p,11
sigtopBonf,Class ~ hsa.miR.21.5p + hsa.miR.30e.3p + hsa.miR.30a.3p + hsa.miR.30c.2.3p + hsa.miR.132.3p + hsa.miR.375.3p + hsa.miR.217.5p + hsa.miR.139.5p + hsa.miR.199a.5p + hsa.miR.338.3p + hsa.miR.199b.5p,11
sigtopHolm,Class ~ hsa.miR.21.5p + hsa.miR.30e.3p + hsa.miR.30a.3p + hsa.miR.30c.2.3p + hsa.miR.132.3p + hsa.miR.375.3p + hsa.miR.217.5p + hsa.miR.139.5p + hsa.miR.199a.5p + hsa.miR.338.3p + hsa.miR.199b.5p,11
topFC,Class ~ hsa.miR.217.5p + hsa.miR.375.3p + hsa.miR.192.5p + hsa.miR.194.5p + hsa.miR.21.5p + hsa.miR.30a.3p + hsa.miR.199b.5p + hsa.miR.200a.3p + hsa.miR.708.3p + hsa.miR.144.5p + hsa.miR.141.3p,11
sigSMOTE,"Class ~ hsa.let.7c.5p + hsa.miR.16.5p + hsa.miR.20a.5p + hsa.miR.21.5p + hsa.miR.21.3p + hsa.miR.22.3p + hsa.miR.23a.3p + hsa.miR.26a.5p + hsa.miR.26b.5p + hsa.miR.27a.3p + hsa.miR.29a.3p + hsa.miR.30a.5p + hsa.miR.30a.3p + hsa.miR.93.5p + hsa.miR.99a.5p + hsa.miR.101.3p + hsa.miR.192.5p + hsa.miR.199a.5p + hsa.miR.199a.3p + hsa.miR.30c.5p + hsa.miR.30c.2.3p + hsa.miR.30d.5p + hsa.miR.139.5p + hsa.miR.10a.5p + hsa.miR.10b.5p + hsa.miR.181a.5p + hsa.miR.181b.5p + hsa.miR.181c.5p + hsa.miR.181c.3p + 
    hsa.miR.182.5p + hsa.miR.183.5p + hsa.miR.199b.5p + hsa.miR.199b.3p + hsa.miR.210.3p + hsa.miR.181a.3p + hsa.miR.217.5p + hsa.miR.221.3p + hsa.miR.222.3p + hsa.miR.223.3p + hsa.miR.200b.3p + hsa.let.7i.5p + hsa.miR.30b.5p + hsa.miR.132.3p + hsa.miR.141.5p + hsa.miR.141.3p + hsa.miR.142.5p + hsa.miR.142.3p + hsa.miR.143.3p + hsa.miR.144.5p + hsa.miR.145.5p + hsa.miR.145.3p + hsa.miR.126.5p + hsa.miR.126.3p + hsa.miR.127.5p + hsa.miR.127.3p + hsa.miR.134.5p + hsa.miR.136.5p + hsa.miR.185.5p + hsa.miR.194.5p + 
    hsa.miR.195.5p + hsa.miR.320a.3p + hsa.miR.200c.3p + hsa.miR.155.5p + hsa.miR.29c.3p + hsa.miR.200a.5p + hsa.miR.200a.3p + hsa.miR.30e.5p + hsa.miR.30e.3p + hsa.miR.365a.3p + hsa.miR.365b.3p + hsa.miR.375.3p + hsa.miR.378a.5p + hsa.miR.378a.3p + hsa.miR.379.5p + hsa.miR.381.3p + hsa.miR.337.3p + hsa.miR.151a.5p + hsa.miR.338.3p + hsa.miR.335.3p + hsa.miR.423.5p + hsa.miR.429 + hsa.miR.451a + hsa.miR.486.5p + hsa.miR.146b.5p + hsa.miR.92b.3p + hsa.miR.582.3p + hsa.miR.625.3p + hsa.miR.629.5p + 
    hsa.miR.708.3p + hsa.miR.140.3p + hsa.let.7b.5p + hsa.miR.15a.5p + hsa.miR.425.5p + hsa.miR.1307.3p + hsa.let.7d.5p + hsa.miR.146b.3p + hsa.miR.193a.5p + hsa.miR.128.3p + hsa.miR.146a.5p + hsa.miR.130a.3p + hsa.miR.99b.5p + hsa.miR.1307.5p + hsa.miR.361.3p + hsa.miR.9.5p + hsa.miR.660.5p + hsa.miR.34a.5p + hsa.let.7g.5p + hsa.miR.584.5p + hsa.miR.103a.3p + hsa.miR.17.3p + hsa.miR.423.3p + hsa.miR.23b.3p + hsa.miR.452.5p + hsa.miR.484 + hsa.miR.99b.3p + hsa.let.7a.3p + hsa.miR.28.3p + hsa.miR.29b.3p + 
    hsa.miR.374a.5p + hsa.let.7f.5p + hsa.miR.143.5p + hsa.miR.17.5p + hsa.miR.28.5p + hsa.miR.342.3p + hsa.miR.100.5p + hsa.miR.106b.3p + hsa.miR.2355.5p + hsa.miR.148a.3p + hsa.miR.197.3p + hsa.miR.140.5p + hsa.miR.106b.5p + hsa.miR.500a.3p + hsa.miR.191.5p + hsa.miR.98.5p + hsa.miR.125a.5p + hsa.miR.574.3p + hsa.miR.152.3p + hsa.miR.186.5p + hsa.miR.148b.3p + hsa.let.7a.5p + hsa.miR.455.3p + hsa.miR.107 + hsa.miR.664a.3p + hsa.miR.542.3p + hsa.miR.125b.5p + hsa.miR.92a.3p + hsa.miR.25.3p + hsa.let.7e.5p + 
    hsa.miR.150.5p + hsa.miR.374a.3p + hsa.miR.15b.5p + hsa.miR.424.5p + hsa.miR.19b.3p + hsa.miR.589.5p + hsa.miR.24.3p + hsa.miR.218.5p + hsa.miR.532.5p + hsa.miR.374b.5p + hsa.miR.27b.3p + hsa.miR.193b.3p + hsa.let.7d.3p",161
sigtopSMOTE,Class ~ hsa.let.7c.5p + hsa.miR.16.5p + hsa.miR.20a.5p + hsa.miR.21.5p + hsa.miR.21.3p + hsa.miR.22.3p + hsa.miR.23a.3p + hsa.miR.26a.5p + hsa.miR.26b.5p + hsa.miR.27a.3p + hsa.miR.29a.3p,11
sigtopBonfSMOTE,Class ~ hsa.let.7c.5p + hsa.miR.16.5p + hsa.miR.20a.5p + hsa.miR.21.5p + hsa.miR.21.3p + hsa.miR.22.3p + hsa.miR.23a.3p + hsa.miR.26a.5p + hsa.miR.26b.5p + hsa.miR.27a.3p + hsa.miR.29a.3p,11
sigtopHolmSMOTE,Class ~ hsa.let.7c.5p + hsa.miR.16.5p + hsa.miR.20a.5p + hsa.miR.21.5p + hsa.miR.21.3p + hsa.miR.22.3p + hsa.miR.23a.3p + hsa.miR.26a.5p + hsa.miR.26b.5p + hsa.miR.27a.3p + hsa.miR.29a.3p,11
topFCSMOTE,Class ~ hsa.miR.217.5p + hsa.miR.375.3p + hsa.miR.192.5p + hsa.miR.194.5p + hsa.miR.21.5p + hsa.miR.30a.3p + hsa.miR.199b.5p + hsa.miR.144.5p + hsa.miR.30c.2.3p + hsa.miR.210.3p + hsa.miR.708.3p,11
fcsig,"Class ~ hsa.miR.21.5p + hsa.miR.30e.3p + hsa.miR.30a.3p + hsa.miR.30c.2.3p + hsa.miR.132.3p + hsa.miR.375.3p + hsa.miR.217.5p + hsa.miR.139.5p + hsa.miR.199a.5p + hsa.miR.338.3p + hsa.miR.199b.5p + hsa.miR.127.5p + hsa.miR.381.3p + hsa.miR.127.3p + hsa.miR.199a.3p + hsa.miR.181b.5p + hsa.miR.199b.3p + hsa.miR.194.5p + hsa.miR.134.5p + hsa.miR.30a.5p + hsa.miR.200a.5p + hsa.miR.136.5p + hsa.miR.192.5p + hsa.miR.451a + hsa.miR.200a.3p + hsa.miR.141.3p + hsa.miR.200b.3p + hsa.miR.708.3p + hsa.miR.210.3p + 
    hsa.miR.486.5p + hsa.miR.378a.3p + hsa.miR.379.5p + hsa.miR.141.5p + hsa.miR.21.3p + hsa.miR.337.3p + hsa.miR.144.5p + hsa.miR.429 + hsa.miR.335.3p + hsa.miR.126.5p + hsa.miR.181a.3p + hsa.miR.181a.5p + hsa.miR.378a.5p + hsa.miR.146b.5p + hsa.miR.182.5p + hsa.miR.183.5p + hsa.miR.223.3p + hsa.miR.200c.3p + hsa.miR.10b.5p + hsa.miR.142.3p + hsa.miR.142.5p",50
fcsigSMOTE,"Class ~ hsa.miR.21.5p + hsa.miR.21.3p + hsa.miR.30a.5p + hsa.miR.30a.3p + hsa.miR.192.5p + hsa.miR.199a.5p + hsa.miR.199a.3p + hsa.miR.30c.5p + hsa.miR.30c.2.3p + hsa.miR.139.5p + hsa.miR.10b.5p + hsa.miR.181a.5p + hsa.miR.181b.5p + hsa.miR.182.5p + hsa.miR.183.5p + hsa.miR.199b.5p + hsa.miR.199b.3p + hsa.miR.210.3p + hsa.miR.181a.3p + hsa.miR.217.5p + hsa.miR.200b.3p + hsa.miR.132.3p + hsa.miR.141.5p + hsa.miR.141.3p + hsa.miR.142.5p + hsa.miR.144.5p + hsa.miR.126.5p + hsa.miR.126.3p + hsa.miR.127.5p + 
    hsa.miR.127.3p + hsa.miR.134.5p + hsa.miR.136.5p + hsa.miR.194.5p + hsa.miR.200c.3p + hsa.miR.200a.5p + hsa.miR.200a.3p + hsa.miR.30e.3p + hsa.miR.375.3p + hsa.miR.378a.3p + hsa.miR.379.5p + hsa.miR.381.3p + hsa.miR.337.3p + hsa.miR.338.3p + hsa.miR.429 + hsa.miR.451a + hsa.miR.486.5p + hsa.miR.146b.5p + hsa.miR.708.3p",48
cfs,"Class ~ hsa.let.7c.5p + hsa.miR.21.5p + hsa.miR.28.3p + hsa.miR.29a.3p + hsa.miR.30a.3p + hsa.miR.101.3p + hsa.miR.192.5p + hsa.miR.199a.3p + hsa.miR.30c.2.3p + hsa.miR.10b.5p + hsa.miR.181c.5p + hsa.miR.181c.3p + hsa.miR.199b.5p + hsa.miR.217.5p + hsa.miR.132.3p + hsa.miR.144.5p + hsa.miR.126.5p + hsa.miR.126.3p + hsa.miR.134.5p + hsa.miR.185.5p + hsa.miR.194.5p + hsa.miR.195.5p + hsa.miR.29c.3p + hsa.miR.200a.3p + hsa.miR.30e.3p + hsa.miR.375.3p + hsa.miR.378a.5p + hsa.miR.378a.3p + hsa.miR.381.3p + 
    hsa.miR.151a.5p + hsa.miR.338.3p + hsa.miR.335.3p + hsa.miR.484 + hsa.miR.92b.3p",34
cfsSMOTE,Class ~ hsa.miR.21.5p + hsa.miR.30a.3p,2
cfs_sig,"Class ~ hsa.miR.21.5p + hsa.miR.30e.3p + hsa.miR.30a.3p + hsa.miR.30c.2.3p + hsa.miR.132.3p + hsa.miR.375.3p + hsa.miR.217.5p + hsa.miR.338.3p + hsa.miR.199b.5p + hsa.miR.381.3p + hsa.miR.199a.3p + hsa.miR.194.5p + hsa.miR.134.5p + hsa.miR.192.5p + hsa.miR.200a.3p + hsa.miR.181c.3p + hsa.miR.29a.3p + hsa.miR.378a.3p + hsa.miR.144.5p + hsa.miR.335.3p + hsa.miR.126.5p + hsa.let.7c.5p + hsa.miR.378a.5p + hsa.miR.181c.5p + hsa.miR.126.3p + hsa.miR.185.5p + hsa.miR.29c.3p + hsa.miR.151a.5p + hsa.miR.92b.3p + 
    hsa.miR.10b.5p + hsa.miR.195.5p + hsa.miR.101.3p + hsa.miR.484 + hsa.miR.28.3p",34
cfsSMOTE_sig,Class ~ hsa.miR.21.5p + hsa.miR.30a.3p,2
